Name,IE_CP,CPUtime
06_28_cam.out,-2.2265042702788846e-05,24125.0
06_29_cam.out,-9.119813545976095e-05,35655.0
06_30_cam.out,-0.00040054037880318723,37218.0
06_31_cam.out,-1.578247428047809e-05,24063.0
06_32_cam.out,0.0004284555991713148,22505.0
06_33_cam.out,0.000244383719263745,83924.0
07_08_cam.out,2.4267310511553783e-05,26407.0
07_09_cam.out,-1.0453925172908366e-05,30644.0
07_10_cam.out,-1.296212092430279e-06,24070.0
07_11_cam.out,1.2637897531474104e-05,26923.0
07_12_cam.out,0.00018555346937211155,35489.0
07_13_cam.out,0.0007829525162390438,33375.0
07_14_cam.out,-6.324081826772908e-05,62738.0
07_15_cam.out,6.156837982470119e-06,53170.0
07_16_cam.out,-4.576118919521913e-06,63991.0
07_17_cam.out,4.998289768924303e-06,39332.0
07_18_cam.out,-2.887687956015936e-05,47270.0
07_19_cam.out,4.3241858572111554e-05,38266.0
07_20_cam.out,-0.0001473056408876494,38765.0
07_22_cam.out,-7.132665655936256e-05,33759.0
07_23_cam.out,3.0817147091633465e-06,45767.0
07_24_cam.out,-4.286596055458167e-05,47404.0
07_25_cam.out,-6.912652018964143e-05,27920.0
07_26_cam.out,-0.00025613674467251,98269.0
07_27_cam.out,0.001139734758101992,23916.0
07_28_cam.out,-2.0522779480478086e-05,42652.0
07_29_cam.out,0.00066591014385498,37246.0
07_30_cam.out,0.0004266066080908367,38471.0
07_31_cam.out,-4.149779792828685e-06,40216.0
07_32_cam.out,-0.0002863198104478088,28158.0
07_33_cam.out,8.0765745174502e-05,46590.0
08_10_cam.out,-0.0009690258569944222,32443.0
08_11_cam.out,0.000474498519523506,46081.0
08_12_cam.out,0.0007662580150964144,51851.0
08_13_cam.out,0.0007398283012191235,61364.0
08_14_cam.out,4.0805209990438246e-05,54208.0
08_15_cam.out,0.0001346476377625498,32155.0
08_16_cam.out,0.00014206990688924302,26225.0
08_17_cam.out,0.00041230685493227095,30503.0
08_18_cam.out,0.0005676087352541832,61098.0
08_19_cam.out,4.18287457689243e-05,67716.0
08_20_cam.out,0.0004721354499474103,41525.0
08_21_cam.out,0.00015160712054820719,50294.0
08_22_cam.out,8.059184465338646e-06,38233.0
08_23_cam.out,0.0004982136483649403,44173.0
08_24_cam.out,-0.0007336621214486056,29134.0
08_25_cam.out,0.0003152056670836653,48508.0
08_26_cam.out,0.0002579969102007968,39588.0
08_27_cam.out,0.0005205107828462152,22380.0
08_28_cam.out,0.00010752219404462152,30910.0
08_29_cam.out,0.0017942018292908368,56736.0
08_30_cam.out,0.002178507269286056,37767.0
08_31_cam.out,6.223224844940239e-05,30919.0
08_32_cam.out,-0.0021834423484462153,30572.0
08_33_cam.out,-0.0008107449265928287,24779.0
09_11_cam.out,4.7503499034262944e-05,40079.0
09_12_cam.out,0.000251190338038247,28268.0
09_13_cam.out,0.00018699649749960158,53884.0
09_14_cam.out,-0.00013978091222629482,26839.0
09_15_cam.out,9.954586284143427e-05,36213.0
09_16_cam.out,0.0003248997222900398,43861.0
09_17_cam.out,5.543844624063745e-05,79477.0
09_18_cam.out,1.1053540207171314e-05,37769.0
09_19_cam.out,1.562901064860558e-05,35928.0
09_20_cam.out,7.720300464223108e-05,40664.0
09_21_cam.out,-0.00016435338191713147,43547.0
09_22_cam.out,-0.0002575708127760956,40828.0
09_23_cam.out,-0.0018474523495394424,29522.0
09_24_cam.out,-0.0012436757590533864,47646.0
09_25_cam.out,-0.0005036232014772908,65207.0
09_26_cam.out,5.310818694820717e-06,43116.0
09_27_cam.out,6.559563587410359e-05,38787.0
09_28_cam.out,-5.964662715537848e-06,37362.0
09_29_cam.out,0.000762805894438247,64034.0
09_30_cam.out,0.0007441642144143426,61964.0
09_31_cam.out,0.00014404094490677293,40938.0
09_32_cam.out,0.0016671358729243029,21132.0
09_33_cam.out,8.633581333864543e-06,35216.0
10_11_cam.out,5.8759835748207176e-05,25655.0
10_12_cam.out,0.0001242723348191235,26879.0
10_13_cam.out,0.00015100197638406374,29276.0
10_14_cam.out,-7.349603040637451e-06,29247.0
10_15_cam.out,7.574569450517928e-05,39039.0
10_16_cam.out,4.510547888446215e-08,27755.0
10_17_cam.out,-1.3037217435856574e-05,45495.0
10_18_cam.out,0.00010527848221673307,34280.0
10_19_cam.out,9.866827019920318e-06,46178.0
10_20_cam.out,0.00011349784294023904,38304.0
10_21_cam.out,-1.8510918860557768e-05,59421.0
10_22_cam.out,-2.0619279690836653e-05,30325.0
10_23_cam.out,0.000228307383263745,25011.0
10_24_cam.out,-0.0011303085426693227,43305.0
10_25_cam.out,4.4471084003187254e-05,41518.0
10_26_cam.out,2.7663242648605577e-05,61636.0
10_27_cam.out,0.00010225841398884463,27741.0
10_28_cam.out,3.3319183187250997e-05,26842.0
10_29_cam.out,0.0006357040215840637,60196.0
10_30_cam.out,0.0011614465490996015,36703.0
10_31_cam.out,-3.961133646215139e-06,26999.0
10_32_cam.out,-0.0005132740288844622,65274.0
10_33_cam.out,-0.00015404639124302788,28684.0
11_13_cam.out,0.0006224049280207171,34303.0
11_14_cam.out,4.743241185498008e-05,31686.0
11_15_cam.out,2.2228363137848606e-05,25731.0
11_16_cam.out,-4.3933126135458165e-05,33856.0
11_17_cam.out,8.42765696e-05,36925.0
11_18_cam.out,0.00046333020003346616,54580.0
11_19_cam.out,7.768556503585658e-06,43848.0
11_20_cam.out,0.00031222146395697213,28898.0
11_21_cam.out,0.00016911432909482072,73860.0
11_22_cam.out,0.0012847377994454183,27881.0
11_23_cam.out,4.631298796653386e-05,25939.0
11_24_cam.out,-0.0003663244137083665,36884.0
11_26_cam.out,0.0003607075765752988,48798.0
11_27_cam.out,0.0002950506525673307,35425.0
11_28_cam.out,6.472423993625499e-05,35038.0
11_29_cam.out,0.0008718113007394423,50521.0
11_30_cam.out,0.0008683158458693226,47772.0
11_31_cam.out,7.105232903585658e-06,29798.0
11_32_cam.out,-0.001363058727515538,33150.0
11_33_cam.out,-0.0005517815220270917,33295.0
12_14_cam.out,0.0006307200186007969,30951.0
12_15_cam.out,7.00250654071713e-05,32111.0
12_16_cam.out,-6.515666776733067e-05,42376.0
12_17_cam.out,0.00035079668023426297,36607.0
12_18_cam.out,0.0012122187404956177,37098.0
12_19_cam.out,9.011608259123506e-05,44209.0
12_20_cam.out,0.0007469023777737051,35952.0
12_21_cam.out,0.000688959168501992,43879.0
12_22_cam.out,0.0015197477816860558,40752.0
12_23_cam.out,0.0002496447789800797,60736.0
12_24_cam.out,-0.0010871930236876493,35426.0
12_25_cam.out,-0.0006179306701800797,59145.0
12_27_cam.out,0.0022117024846533863,23093.0
12_28_cam.out,0.00018367237946613547,35676.0
12_29_cam.out,0.0030069268651633464,49624.0
12_30_cam.out,0.003598943391781673,52061.0
12_31_cam.out,6.612076557928287e-05,29416.0
12_32_cam.out,-0.004151832262154582,36697.0
12_33_cam.out,-0.0015103479581434264,24835.0
13_15_cam.out,6.570329620717131e-06,25220.0
13_16_cam.out,-4.911056337370518e-05,51529.0
13_17_cam.out,0.0002622906281163347,82395.0
13_18_cam.out,0.0010268907198454182,38164.0
13_19_cam.out,6.560440876494024e-05,33453.0
13_20_cam.out,0.0005148747223442231,41620.0
13_21_cam.out,0.0013074851710693227,53592.0
13_22_cam.out,0.0007330347141083665,50238.0
13_23_cam.out,0.00015640863112031874,21164.0
13_24_cam.out,-0.0008871389700972111,55761.0
13_25_cam.out,0.00024322118126374502,36663.0
13_26_cam.out,0.0011924151702693228,40328.0
13_28_cam.out,0.00026063898149322707,38716.0
13_29_cam.out,0.0013044424599474103,46866.0
13_30_cam.out,0.002502818212650199,49538.0
13_31_cam.out,6.931512177051793e-05,31663.0
13_32_cam.out,-0.003296150779694024,35266.0
13_33_cam.out,-0.001174291164481275,77666.0
14_15_cam.out,-1.9094770522709165e-05,21076.0
14_16_cam.out,-1.4815843942629481e-05,36497.0
14_17_cam.out,-3.431036092908367e-05,67707.0
14_18_cam.out,3.834948174183267e-05,42795.0
14_19_cam.out,-5.635765595219123e-06,40476.0
14_20_cam.out,2.0980483233466136e-05,35086.0
14_21_cam.out,-3.079706173067729e-05,99036.0
14_22_cam.out,-0.00014932695266613546,36382.0
14_23_cam.out,-4.313673667729084e-05,36843.0
14_24_cam.out,-5.0222264852589636e-05,29035.0
14_25_cam.out,-0.00041541731715537847,30013.0
14_26_cam.out,-0.0002486354624557769,38541.0
14_27_cam.out,-0.0032926984066470122,20164.0
14_28_cam.out,-0.00024034394269641435,74201.0
14_29_cam.out,0.0005305867906661355,43865.0
14_30_cam.out,-2.6753453859760958e-05,57420.0
14_31_cam.out,-1.6069735925099602e-05,24731.0
14_32_cam.out,4.997447064541833e-05,28273.0
14_33_cam.out,-2.1040663587250997e-05,20566.0
15_16_cam.out,-1.2820004084462153e-05,38930.0
15_17_cam.out,2.5241535244621517e-05,55397.0
15_18_cam.out,0.00011519712893386454,33769.0
15_19_cam.out,5.799719950597609e-06,36597.0
15_20_cam.out,6.759236272828686e-05,56216.0
15_21_cam.out,2.615362349800797e-05,46708.0
15_22_cam.out,9.96634565737052e-07,34814.0
15_23_cam.out,9.304218768286852e-05,26874.0
15_24_cam.out,-0.0003180227328015936,44802.0
15_25_cam.out,2.014031777051793e-05,68303.0
15_26_cam.out,2.6649345612749003e-05,34863.0
15_27_cam.out,-0.00012174465149322709,42278.0
15_28_cam.out,-1.455261855936255e-05,40544.0
15_29_cam.out,0.00014507770084462153,38787.0
15_31_cam.out,6.147471796653387e-05,27369.0
15_32_cam.out,-0.00039951669636653387,42590.0
15_33_cam.out,-0.0001237552606310757,33756.0
16_17_cam.out,-5.3622865952191236e-05,44463.0
16_18_cam.out,-0.0008004281375569722,53543.0
16_19_cam.out,1.2383295652589641e-05,44985.0
16_20_cam.out,-0.0002774264334868526,56963.0
16_21_cam.out,-0.00014299873441752989,55733.0
16_22_cam.out,-0.00012491843551394423,36286.0
16_23_cam.out,3.245135297689243e-05,36452.0
16_24_cam.out,-0.00012275421199362552,40621.0
16_25_cam.out,-4.500855755697211e-05,45429.0
16_26_cam.out,-5.026355676334662e-05,61516.0
16_27_cam.out,-4.159016533545817e-05,18833.0
16_28_cam.out,-1.7018603789641432e-05,31101.0
16_29_cam.out,0.00040705353808764936,64556.0
16_30_cam.out,0.0007691954149195219,54200.0
16_31_cam.out,-2.3453702466932273e-05,30968.0
16_32_cam.out,-0.002249915478965737,38021.0
16_33_cam.out,0.0012647590663075697,36992.0
17_18_cam.out,-1.636004214820717e-05,30633.0
17_19_cam.out,-1.5976447644621513e-05,48140.0
17_20_cam.out,0.0001105959244063745,37375.0
17_21_cam.out,-3.0114722356972114e-05,66211.0
17_22_cam.out,-6.806424253386455e-05,52926.0
17_23_cam.out,4.507548055139442e-05,33684.0
17_24_cam.out,-0.0001800558092239044,48049.0
17_25_cam.out,-0.00010403643430756973,33782.0
17_26_cam.out,0.0001288759991123506,41181.0
17_27_cam.out,0.0001528423985306773,36106.0
17_28_cam.out,1.8019729053386453e-05,47410.0
17_29_cam.out,0.0007893773558884463,56335.0
17_30_cam.out,0.0007586319551458167,57391.0
17_31_cam.out,1.2252269367330677e-05,37045.0
17_32_cam.out,-0.0009150431613115538,23684.0
17_33_cam.out,-0.00021342328139601594,24611.0
18_19_cam.out,0.0001279202255760956,44523.0
18_20_cam.out,-0.001338181493373705,38026.0
18_21_cam.out,-0.0006994599333593625,76382.0
18_22_cam.out,0.00014949386565418326,30753.0
18_23_cam.out,0.00017034234306135458,81981.0
18_24_cam.out,-0.0008093844256701196,31820.0
18_25_cam.out,8.82400716063745e-05,32715.0
18_26_cam.out,0.00015472741160318725,29821.0
18_27_cam.out,0.000609995338025498,22558.0
18_28_cam.out,0.00022040542165577688,15991.0
18_29_cam.out,0.0015383459219505977,41975.0
18_30_cam.out,0.001734915830863745,52055.0
18_31_cam.out,0.00011160637099442232,48496.0
18_32_cam.out,0.00013965152987729083,24118.0
18_33_cam.out,0.0033086280350709167,47264.0
19_20_cam.out,4.978771468366534e-05,30654.0
19_21_cam.out,8.779388495936255e-05,53357.0
19_22_cam.out,4.0106967633466136e-05,28477.0
19_23_cam.out,5.981749196812749e-06,35137.0
19_24_cam.out,-3.7756763735458165e-05,27876.0
19_25_cam.out,-2.28506547187251e-05,44287.0
19_26_cam.out,-0.00016730709650199203,37985.0
19_27_cam.out,3.463555294023904e-05,17443.0
19_28_cam.out,3.2293622613545817e-06,47631.0
19_29_cam.out,0.0003344454166613546,49077.0
19_30_cam.out,0.00024618446615139443,42564.0
19_31_cam.out,2.1087578310756973e-06,33900.0
19_32_cam.out,-0.00041719991230119524,30658.0
19_33_cam.out,-0.00018903022406693227,23039.0
20_21_cam.out,-0.0007339800633131474,59699.0
20_22_cam.out,0.00011694954886374502,20113.0
20_23_cam.out,0.0001252772404557769,28850.0
20_24_cam.out,-0.0005549769380223108,25945.0
20_25_cam.out,8.612267139920319e-05,37940.0
20_26_cam.out,2.668351379760956e-05,27551.0
20_27_cam.out,0.00020917507732749006,39283.0
20_28_cam.out,0.00016520945627569722,36264.0
20_29_cam.out,0.0004462789444366534,53071.0
20_30_cam.out,0.0007236892921306773,65498.0
20_31_cam.out,7.439476934183268e-05,21091.0
20_32_cam.out,0.00011240588666135459,21431.0
20_33_cam.out,0.0011357694618613547,50929.0
21_22_cam.out,0.0003175445726119522,31738.0
21_23_cam.out,-2.0157571824701195e-06,54224.0
21_24_cam.out,-9.689414189163346e-05,69818.0
21_25_cam.out,-0.00010252133900717131,43147.0
21_26_cam.out,0.00034329704195537846,41835.0
21_27_cam.out,0.0012989433573179284,29070.0
21_28_cam.out,-3.3762023984063746e-06,46797.0
21_29_cam.out,0.0018420730168908367,45681.0
21_30_cam.out,0.0009528811934916335,61871.0
21_31_cam.out,-1.5481850364940237e-05,30502.0
21_32_cam.out,0.0005584455821752988,57983.0
21_33_cam.out,0.0011904780105306773,55660.0
22_23_cam.out,3.5861948890836654e-05,39181.0
22_24_cam.out,-0.00034553518213545814,19681.0
22_25_cam.out,-0.0012162051423330678,74466.0
22_26_cam.out,0.0006604834922119522,44035.0
22_27_cam.out,0.0007660303810533864,31844.0
22_28_cam.out,-2.242059251952191e-05,45386.0
22_29_cam.out,0.0009685043671410358,61244.0
22_30_cam.out,0.0007202051761019921,51610.0
22_31_cam.out,-2.4966332772908365e-05,51606.0
22_32_cam.out,-0.00130844382229004,14378.0
22_33_cam.out,-0.0002941181881418327,45274.0
23_24_cam.out,0.00016374512245896416,52580.0
23_25_cam.out,0.0004656150177784861,44570.0
23_26_cam.out,3.365935411952191e-05,40594.0
23_27_cam.out,7.17019477067729e-05,24456.0
23_28_cam.out,2.431448512191235e-05,45605.0
23_29_cam.out,0.00036021006363984065,47259.0
23_30_cam.out,0.00034085980492111554,43662.0
